language,File Path,JavascriptToPascal.pas,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h54m13s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h54m13s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h38m11s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/Executions\08-18-2024_11h52m33s\PythonToC.c,PythonToC.c,0,"[[1, 4, 9]]",14,6
C#,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,15129
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h26m11s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h26m11s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h36m28s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h39m30s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h40m59s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h45m12s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h46m42s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h46m42s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h48m14s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h48m14s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\PythonToC++.c++,PythonToC++.c++,3,[[]],0,
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h26m11s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h33m24s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h38m11s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input
Haskell,./Projects/HumanEvalX/142/Executions\08-18-2024_11h52m33s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
Java,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h27m50s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h29m45s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h31m33s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h33m24s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h34m55s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,4
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h34m55s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h36m28s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h39m30s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h39m30s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,2
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h42m18s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h45m12s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h46m42s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h46m42s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h48m14s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,2
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h52m33s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\C++ToJavascript.js,C++ToJavascript.js,0,[[]],0,
Pascal,./Projects/HumanEvalX/142/Executions\08-18-2024_11h24m23s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,12
Pascal,./Projects/HumanEvalX/142/Executions\08-18-2024_11h40m59s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions\08-18-2024_11h49m37s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions\08-18-2024_11h51m11s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,"EConvertError: ""[1, 2, 3]"" is an invalid integer"
Pascal,./Projects/HumanEvalX/142/Executions\08-18-2024_11h43m46s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 4, 9]]",14,6
