language,File Path,JavascriptToHaskell.hs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX\158\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToC.c,PythonToC.c,0,"[['aaaaaaa', 'bb', 'cc']]",aaaaaaa,","
Java,./Projects/HumanEvalX\20\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToJava.java,C++ToJava.java,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]",[]
Haskell,./Projects/HumanEvalX\21\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[2.0, 49.9]]","[0.0, 1.0]",
C++,./Projects/HumanEvalX\26\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3, 4]]","[1, 2, 3, 4]",[]
Java,./Projects/HumanEvalX\26\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3, 4]]","[1, 2, 3, 4]",[]
C++,./Projects/HumanEvalX\28\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['x', 'y', 'z']]",xyz,
Java,./Projects/HumanEvalX\29\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToJava.java,JavascriptToJava.java,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']",[]
Pascal,./Projects/HumanEvalX\29\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[], 'john']",[],
C++,./Projects/HumanEvalX\3\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, -4, 5, 6]]",True,False
C#,./Projects/HumanEvalX\4\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.0]]",1e-06,"(0, 666666666666667)"
C#,./Projects/HumanEvalX\45\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToC#.cs,C++ToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\45\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[5, 3]",7.5,"(7, 5)"
Pascal,./Projects/HumanEvalX\45\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToPascal.pas,JavaToPascal.pas,0,"[5, 3]",7.5,"(7, 5)"
C#,./Projects/HumanEvalX\47\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[[6, 5]]",5.5,"(5, 5)"
C,./Projects/HumanEvalX\68\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC.c,JavascriptToC.c,0,"[[4, 2, 3]]","[2, 1]",[]
Python,./Projects/HumanEvalX\68\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToPython.py,JavaToPython.py,0,"[[4, 2, 3]]","[2, 1]",
C#,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToC#.cs,C++ToC#.cs,0,"[4, 8, 5]",0.01,"(8, 181534)"
C#,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC#.cs,JavascriptToC#.cs,0,"[3, 4, 5]",6.0,"(6, 0)"
Java,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToJava.java,JavascriptToJava.java,0,"[3, 4, 5]",6.0,"(6, 0)"
Pascal,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[3, 4, 5]",6.0,"(6, 0)"
C#,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavaToC#.cs,JavaToC#.cs,0,"[4, 8, 5]",0.01,"(8, 18)"
Pascal,./Projects/HumanEvalX\71\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToPascal.pas,PythonToPascal.pas,0,"[3, 4, 5]",6.0,"(6, 0)"
C++,./Projects/HumanEvalX\74\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']","['hi', ', ', 'hi', ']']"
Pascal,./Projects/HumanEvalX\81\ExecutionsExp23Run1\01-14-2026_14h34m36s\C++ToPascal.pas,C++ToPascal.pas,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']","['B', 'C']"
Haskell,./Projects/HumanEvalX\81\ExecutionsExp23Run1\01-14-2026_14h34m36s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[4.0, 3, 1.7, 2, 3.5]]","['A+', 'B', 'C-', 'C', 'A-']",
Java,./Projects/HumanEvalX\89\ExecutionsExp23Run1\01-14-2026_14h34m36s\PythonToJava.java,PythonToJava.java,0,['hi'],lm,"lm
lm"
C#,./Projects/HumanEvalX\99\ExecutionsExp23Run1\01-14-2026_14h34m37s\C++ToC#.cs,C++ToC#.cs,0,['14.5'],15,145
