language,File Path,C#ToC++.c++,returncode,input,Expected,actualy
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C#ToC++.c++,C#ToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\HaskellToC++.c++,HaskellToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\JavaToC++.c++,JavaToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\PascalToC++.c++,PascalToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\PythonToC++.c++,PythonToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\HaskellToC++.c++,HaskellToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\JavaToC++.c++,JavaToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\PythonToC++.c++,PythonToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C#ToC++.c++,C#ToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\HaskellToC++.c++,HaskellToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\JavaToC++.c++,JavaToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\PythonToC++.c++,PythonToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C#ToC++.c++,C#ToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\HaskellToC++.c++,HaskellToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\JavaToC++.c++,JavaToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\PythonToC++.c++,PythonToC++.c++,0,6.7,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\JavascriptToC++.c++,JavascriptToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\PascalToC++.c++,PascalToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\JavascriptToC++.c++,JavascriptToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C#ToC++.c++,C#ToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\JavascriptToC++.c++,JavascriptToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\PascalToC++.c++,PascalToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\JavascriptToC++.c++,JavascriptToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\PascalToC++.c++,PascalToC++.c++,0,nan,usage: please input a non-negative integer,composite
C++,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\JavascriptToC++.c++,JavascriptToC++.c++,0,nan,usage: please input a non-negative integer,composite
Haskell,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C#ToHaskell.hs,C#ToHaskell.hs,0,-7,usage: please input a non-negative integer,composite
Haskell,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C#ToHaskell.hs,C#ToHaskell.hs,0,-7,usage: please input a non-negative integer,composite
Haskell,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C#ToHaskell.hs,C#ToHaskell.hs,0,-7,usage: please input a non-negative integer,composite
Haskell,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C#ToHaskell.hs,C#ToHaskell.hs,0,-7,usage: please input a non-negative integer,composite
Haskell,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C++ToHaskell.hs,C++ToHaskell.hs,0,0,composite,prime
Java,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\C#ToJava.java,C#ToJava.java,0,-7,usage: please input a non-negative integer,composite
Java,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C#ToJava.java,C#ToJava.java,0,-7,usage: please input a non-negative integer,composite
Java,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C#ToJava.java,C#ToJava.java,0,-7,usage: please input a non-negative integer,composite
Java,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C#ToJava.java,C#ToJava.java,0,-7,usage: please input a non-negative integer,composite
Java,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C#ToJava.java,C#ToJava.java,0,-7,usage: please input a non-negative integer,composite
Java,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\HaskellToJava.java,HaskellToJava.java,0,0,composite,enter a non-negative integer: usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\C++ToJavascript.js,C++ToJavascript.js,0,0,composite,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\CToJavascript.js,CToJavascript.js,0,0,composite,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\HaskellToJavascript.js,HaskellToJavascript.js,0,0,composite,please input a non-negative integer:
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\CToJavascript.js,CToJavascript.js,0,0,composite,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\CToJavascript.js,CToJavascript.js,0,0,composite,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\HaskellToJavascript.js,HaskellToJavascript.js,0,0,composite,input a non-negative integer:
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C++ToJavascript.js,C++ToJavascript.js,0,0,composite,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\C#ToJavascript.js,C#ToJavascript.js,1,2,prime,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C#ToJavascript.js,C#ToJavascript.js,1,2,prime,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C#ToJavascript.js,C#ToJavascript.js,1,2,prime,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C#ToJavascript.js,C#ToJavascript.js,1,2,prime,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C#ToJavascript.js,C#ToJavascript.js,1,2,prime,usage: please input a non-negative integer
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\HaskellToJavascript.js,HaskellToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\PascalToJavascript.js,PascalToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\PascalToJavascript.js,PascalToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\HaskellToJavascript.js,HaskellToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\PascalToJavascript.js,PascalToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\PascalToJavascript.js,PascalToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\PascalToJavascript.js,PascalToJavascript.js,0,6.7,usage: please input a non-negative integer,composite
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C++ToJavascript.js,C++ToJavascript.js,0,a,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C++ToJavascript.js,C++ToJavascript.js,0,a,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\JavaToJavascript.js,JavaToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\PythonToJavascript.js,PythonToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\JavaToJavascript.js,JavaToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\PythonToJavascript.js,PythonToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\JavaToJavascript.js,JavaToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\PythonToJavascript.js,PythonToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\JavaToJavascript.js,JavaToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\PythonToJavascript.js,PythonToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\CToJavascript.js,CToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\JavaToJavascript.js,JavaToJavascript.js,0,nan,usage: please input a non-negative integer,prime
JavaScript,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\PythonToJavascript.js,PythonToJavascript.js,0,nan,usage: please input a non-negative integer,prime
Python,./Projects/PrimeNumber/Executions2\07-28-2024_12h52m33s\C#ToPython.py,C#ToPython.py,0,-7,usage: please input a non-negative integer,composite
Python,./Projects/PrimeNumber/Executions2\07-28-2024_12h55m31s\C#ToPython.py,C#ToPython.py,0,-7,usage: please input a non-negative integer,composite
Python,./Projects/PrimeNumber/Executions2\07-28-2024_12h58m20s\C#ToPython.py,C#ToPython.py,0,-7,usage: please input a non-negative integer,composite
Python,./Projects/PrimeNumber/Executions2\07-28-2024_13h01m15s\C#ToPython.py,C#ToPython.py,0,-7,usage: please input a non-negative integer,composite
Python,./Projects/PrimeNumber/Executions2\07-28-2024_13h04m13s\C#ToPython.py,C#ToPython.py,0,-7,usage: please input a non-negative integer,composite
