language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
Haskell,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input.
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h18m16s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h20m34s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
Python,./Projects/HumanEvalX/142/Executions\08-15-2024_12h20m34s\C++ToPython.py,C++ToPython.py,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_12h20m34s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h20m34s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h20m34s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 4, 9]]",14,6
C#,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,-14196
Haskell,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input format
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h22m35s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Python,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\C++ToPython.py,C++ToPython.py,0,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 4, 9]]",14,6
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 4, 9]]",14,6
C,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_12h24m22s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
