language,File Path,C++ToHaskell.hs,returncode,input,Expected,actualy
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1, 4, 9]]",14,6
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 4, 9]]",14,6
Haskell,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 4, 9]]",14,6
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToJava.java,JavascriptToJava.java,0,"[[1, 2, 3]]",6,
Java,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,"6
14
0
9
-3
0
-126
3030
0
-14196
-1448"
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h02m12s\JavaToJavascript.js,JavaToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,
Pascal,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h04m20s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,
Pascal,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h06m32s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h08m26s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 4, 9]]",14,6
Python,./Projects/HumanEvalX/142/Executions5\08-14-2024_23h00m05s\JavaToPython.py,JavaToPython.py,0,"[[1, 2, 3]]",6,
